date,symbol,open,high,low,close,volume
2023-07-03,600519,1745.2003,1764.8623,1740.9840,1746.4421,574105
2023-07-03,000858,115.1352,117.1781,114.6056,116.2483,3593572
2023-07-03,300750,165.6074,166.7300,164.4775,165.3388,5647888
2023-07-03,601318,45.0661,45.2490,43.9982,44.5098,5304688
2023-07-03,600036,37.9194,38.9858,37.8334,38.7135,7102531
2023-07-03,000001,12.0474,12.1876,11.9143,12.0087,6053719
2023-07-03,601166,21.9276,22.6213,21.9048,22.5929,5405146
2023-07-03,600276,50.3427,50.8517,49.8063,49.8383,7516631
2023-07-03,600900,24.9540,25.2705,24.8645,25.1021,6471821
2023-07-03,002594,278.6752,281.9400,273.8755,281.2160,1564878
2023-07-03,000300,3402.4525,3403.0437,3397.9694,3399.2360,6097358
2023-07-04,600519,1737.0774,1770.1685,1722.1209,1765.2390,887658
2023-07-04,000858,115.4646,116.0191,114.5920,115.3038,5386309
2023-07-04,300750,163.7658,167.9837,162.0941,166.6906,1147019
2023-07-04,601318,44.5793,45.2131,44.2064,44.9856,5989416
2023-07-04,600036,38.5304,38.8986,38.4565,38.8865,3434616
2023-07-04,000001,11.9766,12.1168,11.8433,12.0726,6885500
2023-07-04,601166,22.6425,22.6885,22.5822,22.6815,7963669
2023-07-04,600276,50.0109,50.7508,48.8479,48.9703,5142251
2023-07-04,600900,25.1261,25.2807,25.1051,25.2018,5133400
2023-07-04,002594,282.5697,283.1689,277.0025,277.6496,6797692
2023-07-04,000300,3404.7337,3412.6709,3400.0620,3404.2853,2861212
2023-07-05,600519,1763.8715,1782.1721,1762.5765,1780.7198,417443
2023-07-05,000858,115.4777,116.2747,114.2910,115.1254,1340620
2023-07-05,300750,166.2084,169.0873,166.0518,168.1575,5618622
2023-07-05,601318,45.1503,45.5379,44.7252,45.3844,2171327
2023-07-05,600036,38.7378,39.7242,38.5632,39.0411,2952220
2023-07-05,000001,12.1069,12.2324,11.9893,12.1967,4298206
2023-07-05,601166,22.8505,23.0209,22.1565,22.4086,1743274
2023-07-05,600276,48.5636,51.0201,48.1915,50.7249,2408715
2023-07-05,600900,25.2987,25.4456,24.8853,25.0633,1793420
2023-07-05,002594,277.0854,284.1026,276.1981,279.8460,1395798
2023-07-05,000300,3405.4996,3408.5051,3378.2412,3380.8393,3282679
2023-07-06,600519,1779.6277,1805.2910,1773.1500,1788.4282,271758
2023-07-06,000858,115.3950,116.4121,115.1384,116.3983,6384510
2023-07-06,300750,168.1438,169.6650,164.5039,167.4336,3348651
2023-07-06,601318,45.2552,45.5874,44.7106,45.1618,5633953
2023-07-06,600036,39.1462,39.2900,38.7704,39.2839,7351361
2023-07-06,000001,12.1787,12.2883,12.1360,12.1833,2833332
2023-07-06,601166,22.3694,22.9597,22.2165,22.9180,1512521
2023-07-06,600276,50.8053,51.5031,50.6640,51.4977,7286526
2023-07-06,600900,25.0760,25.0880,24.7811,24.8286,7809496
2023-07-06,002594,280.3304,288.3074,279.5526,285.9649,7062236
2023-07-06,000300,3384.6068,3388.4375,3366.4643,3376.0482,1477777
2023-07-07,600519,1790.9622,1798.8268,1772.3692,1781.6960,464491
2023-07-07,000858,116.5998,116.9917,114.9156,115.4108,6691896
2023-07-07,300750,167.4620,179.0381,167.1498,176.3382,3367320
2023-07-07,601318,45.4871,45.6057,44.6260,44.9386,1288762
2023-07-07,600036,39.3121,39.7888,39.1855,39.4719,3166441
2023-07-07,000001,12.1068,12.5559,12.0814,12.5415,2430088
2023-07-07,601166,22.9494,23.0066,22.8369,22.9515,5534761
2023-07-07,600276,51.8700,52.9378,51.7780,52.5590,5507464
2023-07-07,600900,24.7614,24.8047,24.6052,24.7510,2768215
2023-07-07,002594,287.0698,294.2057,286.4875,289.4264,1360415
2023-07-07,000300,3375.5134,3382.3587,3364.1136,3365.9723,1130276
2023-07-10,600519,1782.6516,1788.7946,1769.4765,1773.6579,691552
2023-07-10,000858,114.7739,116.6606,114.5596,115.8704,5314842
2023-07-10,300750,175.5142,178.8737,174.7494,176.5525,1809205
2023-07-10,601318,45.0069,45.1101,44.2691,44.4920,7740836
2023-07-10,600036,39.5453,39.7921,38.8565,39.0031,2879896
2023-07-10,000001,12.5602,12.7575,12.2583,12.3622,6895562
2023-07-10,601166,22.8330,23.2145,22.6503,23.0849,7201097
2023-07-10,600276,52.5449,53.2672,51.9944,53.0307,2301727
2023-07-10,600900,24.7906,24.8915,24.5031,24.7073,1474846
2023-07-10,002594,289.6926,291.8481,285.2135,286.2107,7939186
2023-07-10,000300,3367.4275,3405.3602,3367.2601,3378.1373,1758285
2023-07-11,600519,1775.9639,1780.5226,1770.3568,1770.8130,225368
2023-07-11,000858,115.4829,116.4633,112.3720,113.2211,1055371
2023-07-11,300750,176.2791,182.4428,174.6436,181.4832,4266299
2023-07-11,601318,44.5969,44.6164,44.0697,44.2936,4839820
2023-07-11,600036,39.2946,39.7257,39.1108,39.6171,1968656
2023-07-11,000001,12.3527,12.3586,12.2151,12.2955,7770029
2023-07-11,601166,23.1850,23.4363,23.1411,23.3207,7205237
2023-07-11,600276,52.9641,53.4626,52.7399,53.3771,4244097
2023-07-11,600900,24.7172,24.9453,24.6871,24.7810,5213451
2023-07-11,002594,285.6903,285.7437,281.7925,283.5787,2619825
2023-07-11,000300,3377.7755,3382.0423,3366.1406,3368.3956,1590375
2023-07-12,600519,1771.5275,1783.1541,1749.1998,1751.6156,834202
2023-07-12,000858,113.3649,114.1718,113.1419,113.8802,3045379
2023-07-12,300750,181.3665,181.6074,180.0004,181.0681,1299695
2023-07-12,601318,44.1293,44.5130,44.0489,44.3346,6657857
2023-07-12,600036,39.4890,39.8888,39.3907,39.7863,7796292
2023-07-12,000001,12.2905,12.4281,12.1260,12.1745,2754047
2023-07-12,601166,23.3757,23.5253,23.1711,23.1964,7242924
2023-07-12,600276,53.3556,54.4699,52.6938,53.6939,3345750
2023-07-12,600900,24.7347,24.8947,24.5461,24.8429,6721509
2023-07-12,002594,285.4028,293.8569,283.7650,292.4404,4114081
2023-07-12,000300,3367.5852,3389.8680,3364.5857,3384.5167,6683524
2023-07-13,600519,1755.5998,1771.4558,1721.8929,1733.1981,883329
2023-07-13,000858,113.7044,114.8266,112.9916,113.5511,3716911
2023-07-13,300750,181.0982,183.4874,178.3957,180.6083,1388479
2023-07-13,601318,44.3823,44.9372,44.2033,44.7150,6612205
2023-07-13,600036,39.7654,39.8646,39.7376,39.7454,7797874
2023-07-13,000001,12.1445,12.3085,12.1043,12.3043,6802913
2023-07-13,601166,23.0791,23.2211,23.0678,23.1349,6434979
2023-07-13,600276,53.5712,53.7763,53.3264,53.7063,4276595
2023-07-13,600900,24.8235,24.8923,24.3959,24.4545,3833576
2023-07-13,002594,291.9472,301.5010,288.2834,299.2553,4024857
2023-07-13,000300,3397.6069,3440.8674,3393.5283,3412.2462,6428218
2023-07-14,600519,1742.5694,1745.7276,1712.9008,1727.1389,606206
2023-07-14,000858,113.5579,114.6934,112.5844,114.6172,1089130
2023-07-14,300750,179.6694,181.8383,178.3459,181.1519,4781872
2023-07-14,601318,44.6922,44.8957,43.9683,44.4054,2548136
2023-07-14,600036,39.6611,39.7295,38.8991,39.3359,2657096
2023-07-14,000001,12.3071,12.7876,12.2528,12.6453,6159727
2023-07-14,601166,23.2110,23.2709,23.0217,23.1350,2664006
